HGNC	criteria
A2M	'Age-related changes in gene expression, methylation or protein activity'
AARS1	'Age-related changes in gene expression, methylation or protein activity in humans'
AASS	'Age-related changes in gene expression, methylation or protein activity in humans'
ABCA5	'Age-related changes in gene expression, methylation or protein activity in humans'
ABCA8	'Age-related changes in gene expression, methylation or protein activity in humans'
ABCA9	'Age-related changes in gene expression, methylation or protein activity in humans'
ABCC4	'Association of genetic variants and gene expression levels with longevity'
ABCD3	'Age-related changes in gene expression, methylation or protein activity in humans'
ABCE1	'Age-related changes in gene expression, methylation or protein activity in humans'
ABCG1	'Age-related changes in gene expression, methylation or protein activity in humans'
ABCG2	'Age-related changes in gene expression, methylation or protein activity in humans'
ABHD1	'Age-related changes in gene expression, methylation or protein activity in humans'
ABI2	'Age-related changes in gene expression, methylation or protein activity'
ABI2	'Regulation of genes associated with aging'
ABI2	'Age-related changes in gene expression, methylation or protein activity in humans'
ABLIM1	'Age-related changes in gene expression, methylation or protein activity in humans'
ABLIM2	'Age-related changes in gene expression, methylation or protein activity in humans'
ABO	'Association of genetic variants and gene expression levels with longevity'
ABR	'Age-related changes in gene expression, methylation or protein activity in humans'
ACAA2	'Age-related changes in gene expression, methylation or protein activity in humans'
ACADVL	'Age-related changes in gene expression, methylation or protein activity in humans'
ACAN	'Age-related changes in gene expression, methylation or protein activity in humans'
ACE	'Association of genetic variants and gene expression levels with longevity'
ACE	'Changes in gene activity extend non-mammalian lifespan'
ACE	'Changes in gene activity protect against age-related impairment'
ACE2	'Age-related changes in gene expression, methylation or protein activity'
ACE2	'Changes in gene activity protect against age-related impairment'
ACE2	'Changes in gene activity extend non-mammalian lifespan'
ACF	'Age-related changes in gene expression, methylation or protein activity in humans'
ACKR2	'Age-related changes in gene expression, methylation or protein activity in humans'
ACKR3	'Age-related changes in gene expression, methylation or protein activity in humans'
ACOT13	'Age-related changes in gene expression, methylation or protein activity in humans'
ACOT8	'Age-related changes in gene expression, methylation or protein activity in humans'
ACOT9	'Age-related changes in gene expression, methylation or protein activity in humans'
ACOX1	'Age-related changes in gene expression, methylation or protein activity'
ACOX1	'Age-related changes in gene expression, methylation or protein activity in non-mammals'
ACP1	'Age-related changes in gene expression, methylation or protein activity in humans'
ACP2	'Age-related changes in gene expression, methylation or protein activity in humans'
ACRV1	'Age-related changes in gene expression, methylation or protein activity in humans'
ACSBG1	'Age-related changes in gene expression, methylation or protein activity in humans'
ACSL5	'Age-related changes in gene expression, methylation or protein activity in humans'
ACTA1	'Age-related changes in gene expression, methylation or protein activity in humans'
ACTG1	'Age-related changes in gene expression, methylation or protein activity in humans'
ACTN1	'Age-related changes in gene expression, methylation or protein activity in humans'
ACTN4	'Age-related changes in gene expression, methylation or protein activity in humans'
ACVR2A	'Age-related changes in gene expression, methylation or protein activity in humans'
