HGNC	hallmarks of aging
A2M	'stem cell exhaustion','sterile inflammation'
AARS1	
AASS	'transcriptional alterations','accumulation of reactive oxygen species'
ABCA5	
ABCA8	
ABCA9	
ABCC4	'accumulation of reactive oxygen species'
ABCD3	
ABCE1	
ABCG1	
ABCG2	
ABHD1	
ABI2	
ABLIM1	
ABLIM2	'transcriptional alterations'
ABO	
ABR	
ACAA2	'impairment of the mitochondrial integrity and biogenesis'
ACADVL	'accumulation of reactive oxygen species'
ACAN	'degradation of proteolytic systems','changes in the extracellular matrix structure'
ACE	'degradation of proteolytic systems','stem cell exhaustion'
ACE2	'degradation of proteolytic systems'
ACF	
ACKR2	'sterile inflammation'
ACKR3	
ACOT13	
ACOT8	
ACOT9	
ACOX1	'accumulation of reactive oxygen species'
ACP1	
ACP2	
ACRV1	
ACSBG1	
ACSL5	
ACTA1	
ACTG1	
ACTN1	
ACTN4	
ACVR2A	'transcriptional alterations'
ACY3	
ADAM10	'degradation of proteolytic systems','intercellular communication impairment','changes in the extracellular matrix structure'
ADAM8	'degradation of proteolytic systems','sterile inflammation','changes in the extracellular matrix structure'
ADAMTS1	'degradation of proteolytic systems'
ADAMTS20	'degradation of proteolytic systems'
ADAMTS5	'degradation of proteolytic systems','changes in the extracellular matrix structure'
ADAP1	
ADCY1	'sterile inflammation'
ADCY3	
ADCY5	
ADD3	
ADGRE1	
ADGRE5	'sterile inflammation','intercellular communication impairment'
ADGRL1	
ADH1A	'accumulation of reactive oxygen species'
ADH1B	'accumulation of reactive oxygen species'
ADIPOQ	'AMPK pathway dysregulation','changes in the extracellular matrix structure'
ADIRF	'transcriptional alterations'
ADK	
ADPRS	'nuclear DNA instability'
ADRA1A	'intercellular communication impairment'
ADRA1B	'intercellular communication impairment'
ADRB2	'transcriptional alterations','AMPK pathway dysregulation'
AFG1L	'impairment of the mitochondrial integrity and biogenesis'
AGER	'sterile inflammation'
AGFG1	'nuclear architecture impairment'
AGFG2	
AGO2	'transcriptional alterations'
AGO4	'nuclear DNA instability'
AGPAT1	
AGT	'intercellular communication impairment'
AGTR1	'sterile inflammation'
AHCYL1	
AHCYL2	
AHNAK	
AHR	'transcriptional alterations'
AHSA2P	
AHSP	
AIDA	
AIF1	'sterile inflammation','intercellular communication impairment'
AIFM1	'nuclear DNA instability','accumulation of reactive oxygen species','intercellular communication impairment'
AIP	'transcriptional alterations'
AK2	
AKAP13	'AMPK pathway dysregulation'
AKAP7	
AKAP8	'nuclear DNA instability'
AKAP9	'intercellular communication impairment'
AKR1C2	'accumulation of reactive oxygen species'
AKT1	'transcriptional alterations','degradation of proteolytic systems','TOR pathway dysregulation','INS/IGF-1 pathway dysregulation','impairment of the mitochondrial integrity and biogenesis','sterile inflammation'
AKT1S1	'TOR pathway dysregulation'
AKT2	'INS/IGF-1 pathway dysregulation'
AKT3	'mitochondrial DNA instability','TOR pathway dysregulation','impairment of the mitochondrial integrity and biogenesis','senescent cells accumulation'
AKTIP	'nuclear DNA instability'
ALB	'intercellular communication impairment'
ALDH1B1	'accumulation of reactive oxygen species'
ALDH4A1	'accumulation of reactive oxygen species'
ALDH6A1	'accumulation of reactive oxygen species'
ALDH9A1	'accumulation of reactive oxygen species'
ALKBH7	'nuclear DNA instability','impairment of the mitochondrial integrity and biogenesis','accumulation of reactive oxygen species'
ALOX12	'accumulation of reactive oxygen species'
ALOX5AP	'accumulation of reactive oxygen species','sterile inflammation'
ALPK3	
AMOT	
AMOTL2	
ANAPC5	'degradation of proteolytic systems'
ANK2	'intercellular communication impairment'
ANK3	
ANKRD13C	
ANKRD20A9P	
ANP32B	'chromatin remodeling'
ANXA1	'nuclear DNA instability','sterile inflammation'
ANXA3	
ANXA4	'transcriptional alterations'
ANXA5	
ANXA7	'disabled macroautophagy'
AOX1	'accumulation of reactive oxygen species'
AP2B1	
AP3S1	'INS/IGF-1 pathway dysregulation'
AP4S1	
APBB1	'nuclear DNA instability','alterations in histone modifications','transcriptional alterations'
APBB3	
APC	'nuclear DNA instability','degradation of proteolytic systems','INS/IGF-1 pathway dysregulation'
APEX1	'nuclear DNA instability','telomere attrition','transcriptional alterations','accumulation of reactive oxygen species'
API5	
APOB	
APOBEC3A	
APOBEC3G	
APOC1	
APOC3	
APOD	
APOE	'intercellular communication impairment'
APP	'transcriptional alterations'
APPBP1	
APPBP2	'degradation of proteolytic systems'
AR	'transcriptional alterations','INS/IGF-1 pathway dysregulation','intercellular communication impairment'
ARAP3	
ARF3	
ARFGAP2	
ARFGEF1	
ARFIP1	
ARHGAP1	
ARHGAP29	
ARHGAP35	'intercellular communication impairment'
ARHGAP45	
ARHGEF18	
ARHGEF3	
ARHGEF5	
ARHGEF6	
ARHGEF7	
ARHGEF9	
ARIH1	'degradation of proteolytic systems'
ARL2BP	
ARMCX3	'transcriptional alterations','impairment of the mitochondrial integrity and biogenesis'
ARPC5L	
ARPP19	
ARPP21	
ASB12	
ASB17	
ASCC1	'nuclear DNA instability'
ASCL1	'transcriptional alterations'
ASF1A	'nuclear DNA instability','chromatin remodeling'
ASIC2	'intercellular communication impairment'
ASL	
ASMTL	
ASXL1	'alterations in histone modifications','transcriptional alterations','degradation of proteolytic systems'
ATF2	'nuclear DNA instability','alterations in histone modifications','transcriptional alterations','impairment of the mitochondrial integrity and biogenesis','intercellular communication impairment'
ATG12	'impairment of the mitochondrial integrity and biogenesis','disabled macroautophagy'
ATG4B	'degradation of proteolytic systems','impairment of the mitochondrial integrity and biogenesis','disabled macroautophagy'
ATG5	'impairment of the mitochondrial integrity and biogenesis','intercellular communication impairment','disabled macroautophagy'
ATM	'nuclear DNA instability','telomere attrition','alterations in histone modifications','transcriptional alterations','TOR pathway dysregulation','senescent cells accumulation'
ATOX1	
ATP1B4	
ATP2A2	'disabled macroautophagy'
ATP2B2	
ATP5F1A	
ATP5F1C	
ATP5MC1	
ATP5MC3	
ATP5ME	
ATP5PD	
ATP5PF	
ATP5PO	
ATP6V0B	
ATP6V1A	
ATP6V1G2	
ATP6V1H	
ATP7A	'impairment of the mitochondrial integrity and biogenesis','accumulation of reactive oxygen species','changes in the extracellular matrix structure'
ATPAF1	
ATR	'nuclear DNA instability','telomere attrition','senescent cells accumulation'
ATRX	'nuclear DNA instability','chromatin remodeling','transcriptional alterations','alterations in DNA methylation'
ATXN2	
AUH	
AVL9	
AVPI1	
AZIN1	
B3GALNT1	
B3GAT1	
B3GLCT	
B3GNT2	
B4GALT1	'sterile inflammation'
B4GAT1	
BACE2	'degradation of proteolytic systems'
BACH2	'transcriptional alterations'
BAD	'degradation of proteolytic systems','impairment of the mitochondrial integrity and biogenesis'
BAK1	'degradation of proteolytic systems','impairment of the mitochondrial integrity and biogenesis'
BAMBI	
BAX	'impairment of the mitochondrial integrity and biogenesis'
BAZ2A	'alterations in histone modifications','chromatin remodeling','transcriptional alterations','alterations in DNA methylation'
BBOX1	'accumulation of reactive oxygen species'
BCL11A	'transcriptional alterations'
BCL11B	'transcriptional alterations'
BCL2	'nuclear DNA instability','impairment of the mitochondrial integrity and biogenesis','accumulation of reactive oxygen species','stem cell exhaustion','intercellular communication impairment'
BCL2L2	'impairment of the mitochondrial integrity and biogenesis'
BCL3	'nuclear DNA instability','transcriptional alterations','sterile inflammation'
BCL6	'nuclear DNA instability','alterations in histone modifications','transcriptional alterations','senescent cells accumulation','sterile inflammation'
BCS1L	'impairment of the mitochondrial integrity and biogenesis'
BDNF	
BECN1	'impairment of the mitochondrial integrity and biogenesis','intercellular communication impairment','disabled macroautophagy'
BEND3	'alterations in histone modifications','chromatin remodeling','transcriptional alterations','alterations in DNA methylation'
BEND4	
BEX3	
BFSP1	
BHLHE41	'transcriptional alterations'
BIK	'impairment of the mitochondrial integrity and biogenesis'
BIN1	'nuclear architecture impairment','transcriptional alterations'
