HGNC	model organism	sex	line	effect on lifespan	lifespan % change - mean	lifespan % change - median	lifespan % change - max	intervention deteriorates	intervention improves	main effect on lifespan	intervention method	tissue	doi	pmid
GHR	mouse	male	C57BL/6J	increases lifespan	26	9	14.7		insulin sensitivity,glucose metabolism,INS/IGFR pathway	loss of function	gene knockout		10.1210/en.2003-0374	n/a
GHR	mouse	female	C57BL/6	increases lifespan	5	-1.1	18.7	glucose metabolism,body composition	insulin sensitivity	loss of function	gene knockout		10.1210/en.2016-1649	n/a
GHR	mouse	male	Ola-BALB/cJ	increases lifespan	40	27	31.6		insulin sensitivity,glucose metabolism,INS/IGFR pathway	loss of function	gene knockout		10.1210/en.2003-0374	n/a
GHR	mouse	female	Ola-BALB/cJ	increases lifespan	21	28	15.8		insulin sensitivity,glucose metabolism,INS/IGFR pathway	loss of function	gene knockout		10.1210/en.2003-0374	n/a
GHR	mouse	female	129/OlaHsd x BALB/c	increases lifespan	38	n/a	n/a		INS/IGFR pathway	loss of function	gene knockout		10.1210/endo.141.7.7586	n/a
GHR	mouse	female	C57BL/6J	increases lifespan	16	20	11.8		insulin sensitivity,glucose metabolism,INS/IGFR pathway	loss of function	gene knockout		10.1210/en.2003-0374	n/a
GHR	mouse	male	129/OlaHsd x BALB/c	increases lifespan	55	n/a	n/a		INS/IGFR pathway	loss of function	gene knockout		10.1210/endo.141.7.7586	n/a
GHR	mouse	male	C57BL/6	no change	-0.8	-3.3	-0.6	glucose metabolism	insulin sensitivity	loss of function	gene knockout		10.1210/en.2016-1649	n/a
GHR	mouse	female	n/a	increases lifespan	68.2	57.1	35.8			loss of function	gene knockout		10.1093/gerona/glw193	n/a
GHR	mouse	male	C57BL/6	increases lifespan	n/a	9	6	body composition	glucose metabolism,insulin sensitivity,INS/IGFR pathway	loss of function	gene knockout	muscle	10.18632/aging.100766	n/a
GHR	mouse	female	C57BL/6	increases lifespan	n/a	3.2	2.6		glucose metabolism,muscle,body composition,insulin sensitivity,INS/IGFR pathway	loss of function	gene knockout	muscle	10.18632/aging.100766	n/a
GHR	mouse	male	n/a	increases lifespan	34.3	18.8	21.2		glucose metabolism	loss of function	gene knockout		10.1093/gerona/glw193	n/a
GHRH	mouse	all	C57BL/6 x 129/Sv	increases lifespan	n/a	46	31		glucose metabolism,stress responce,INS/IGFR pathway	loss of function	gene knockout		10.7554/eLife.01098	n/a
GHRH	mouse	female	C57BL/6 x 129/Sv	increases lifespan	n/a	43	33		glucose metabolism,stress responce,INS/IGFR pathway	loss of function	gene knockout		10.7554/eLife.01098	n/a
GHRH	mouse	male	C57BL/6 x 129/Sv	increases lifespan	n/a	51	18		glucose metabolism,stress responce,INS/IGFR pathway	loss of function	gene knockout		10.7554/eLife.01098	n/a
GHRH	mouse	all	C57BL/6 x 129/Sv	increases lifespan	n/a	36.9	26.8			loss of function	gene knockout		10.7554/eLife.01098	n/a
GHRH	mouse	female	C57BL/6 x 129/Sv	increases lifespan	n/a	49.1	22.2			loss of function	gene knockout		10.7554/eLife.01098	n/a
GHRH	mouse	male	C57BL/6 x 129/Sv	increases lifespan	n/a	18.9	n/a			loss of function	gene knockout		10.7554/eLife.01098	n/a
SHC1	mouse	male	C57BL/6J	increases lifespan	n/a	3	6.7			loss of function	gene knockout		10.1093/gerona/glt198	n/a
SHC1	mouse	male	129/Sv	increases lifespan	n/a	17	8.6			loss of function	gene knockout		10.1093/gerona/glt198	n/a
SHC1	mouse	female	129/Sv	increases lifespan	n/a	4	0			loss of function	gene knockout		10.1093/gerona/glt198	n/a
SHC1	mouse	male	C57BL/6J × 129/Sv	decreases lifespan	n/a	-5	0			loss of function	gene knockout		10.1093/gerona/glt198	n/a
SHC1	mouse	female	C57BL/6J × 129/Sv	increases lifespan	n/a	3.9	15			loss of function	gene knockout		10.1093/gerona/glt198	n/a
SHC1	mouse	female	C57BL/6J × 129/Sv	increases lifespan	n/a	11	8.4			loss of function	gene knockout		10.1093/gerona/glt198	n/a
SHC1	roundworm Caenorhabditis elegans	hermaphrodites	N2	decreases lifespan	-38	n/a	n/a			loss of function	gene knockout		10.1101/gad.478408	n/a
SHC1	mouse	female	C57BL/6J	increases lifespan	n/a	3.6	0			loss of function	gene knockout		n/a	n/a
SHC1	mouse	male	C57BL/6J × 129/Sv	no change	n/a	0	-9.9			loss of function	gene knockout		n/a	n/a
POU1F1	mouse	all	C3H/HeJ × DW/J	increases lifespan	42	28.8	39.4		immune function,intercellular matrix	loss of function	gene knockout		10.1073/pnas.111158898	n/a
POU1F1	mouse	male	DWC3F1 Pit1+/?	increases lifespan	26	29	33.8			loss of function	gene knockout		10.1016/s0047-6374(01)00339-6	n/a
POU1F1	mouse	male	DW/J	decreases lifespan	1	-6	24			loss of function	gene knockout		10.1016/s0047-6374(01)00339-6	n/a
